"Image_name	/(.bmp)",categories
1,"	7"
2,"	7"
3,"	7"
4,"	7"
5,"	7"
6,"	7"
7,"	7"
8,"	7"
9,"	7"
10,"	7"
11,"	7"
12,"	7"
13,"	7"
14,"	7"
15,"	7"
16,"	7"
17,"	7"
18,"	7"
19,"	7"
20,"	7"
21,"	7"
22,"	7"
23,"	7"
24,"	7"
25,"	6"
26,"	6"
27,"	6"
28,"	6"
29,"	6"
30,"	6"
31,"	6"
32,"	6"
33,"	6"
34,"	6"
35,"	6"
36,"	6"
37,"	6"
38,"	6"
39,"	6"
40,"	6"
41,"	6"
42,"	6"
43,"	6"
44,"	6"
45,"	6"
46,"	6"
47,"	6"
48,"	6"
49,"	5"
50,"	5"
51,"	5"
52,"	5"
53,"	5"
54,"	5"
55,"	5"
56,"	5"
57,"	5"
58,"	5"
59,"	5"
60,"	5"
61,"	5"
62,"	5"
63,"	5"
64,"	5"
65,"	5"
66,"	5"
67,"	5"
68,"	5"
69,"	5"
70,"	5"
71,"	5"
72,"	5"
73,"	5"
74,"	5"
75,"	5"
76,"	5"
77,"	5"
78,"	5"
79,"	5"
80,"	5"
81,"	5"
82,"	5"
83,"	5"
84,"	5"
85,"	5"
86,"	5"
87,"	5"
88,"	5"
89,"	5"
90,"	5"
91,"	5"
92,"	5"
93,"	5"
94,"	5"
95,"	5"
96,"	5"
97,"	3"
98,"	3"
99,"	3"
100,"	3"
101,"	3"
102,"	3"
103,"	3"
104,"	3"
105,"	3"
106,"	3"
107,"	3"
108,"	3"
109,"	3"
110,"	3"
111,"	3"
112,"	3"
113,"	3"
114,"	3"
115,"	3"
116,"	3"
117,"	3"
118,"	3"
119,"	3"
120,"	3"
121,"	0"
122,"	0"
123,"	0"
124,"	0"
125,"	0"
126,"	0"
127,"	0"
128,"	0"
129,"	0"
130,"	0"
131,"	0"
132,"	0"
133,"	0"
134,"	0"
135,"	0"
136,"	0"
137,"	0"
138,"	0"
139,"	0"
140,"	0"
141,"	0"
142,"	0"
143,"	0"
144,"	0"
145,"	0"
146,"	0"
147,"	0"
148,"	0"
149,"	0"
150,"	0"
151,"	0"
152,"	0"
153,"	2"
154,"	2"
155,"	2"
156,"	2"
157,"	2"
158,"	2"
159,"	2"
160,"	2"
161,"	2"
162,"	2"
163,"	2"
164,"	2"
165,"	2"
166,"	2"
167,"	2"
168,"	2"
169,"	2"
170,"	2"
171,"	2"
172,"	2"
173,"	2"
174,"	2"
175,"	2"
176,"	2"
177,"	4"
178,"	4"
179,"	4"
180,"	4"
181,"	4"
182,"	4"
183,"	4"
184,"	4"
185,"	4"
186,"	4"
187,"	4"
188,"	4"
189,"	4"
